name_as_recorded,role,name_agr,source_authority_uri,instance_of,authorized_label,structured_value
"Brecher, Adolf",former owner,"","",human,Adolf Brecher,Q15217756
"Caffarelli, Prospero, d. 1500",former owner,"","",human,Prospero Caffarelli,Q55643327
"Camac, William, 1829-1900",former owner,"","",human,William Camac,Q113818311
Catholic Church,author,"","",organization,Catholic Church,Q9592
"Chetwode, John, Sir, 1764-1845",former owner,"","",human,"Sir John Chetwode, 4th Baronet",Q11800745
"Court, Antoine de, 16th cent",former owner,"","",human,Antoine de la Court,Q55909108
"Court, Benoît de",former owner,"","",human,Benoît Le Court,Q106904178
"Crescenzi, Pietro de', approximately 1233-approximately 1320",author,"","",human,Pietro de' Crescenzi,Q1933377
"Creswick, H. R., 1902-1988",former owner,"","",human,Harry Creswick,Q5668143
"Dārendevī, Muḥammad ibn Ismāʻīl, active 17th century-18th century",author,دارندوي، محمد بن اسماعىل، active 17th century-18th century,"",human,Muḥammad ibn Ismāʻīl Dārendevī,Q114242433
"Dioscorides Pedanius, of Anazarbos",author,ديسقوريدس,"",human,Pedanius Dioscorides,Q297776
"Dloss, Edwin",former owner,"","",human,Edwin Dloss,Q113818857
"Dysart, Lionel Tollemache, Earl of, 1708-1770",former owner,"","",human,"Lionel Tollemache, 4th Earl of Dysart",Q6555815
"Easson, Henry, Reverend",former owner,"","",human,Henry Easson,Q113818938
"Ebner von Eschenbach, Hieronymus Wilhelm, 1673-1752",former owner,"","",human,Hieronymus Wilhelm Ebner von Eschenbach,Q15452636
"Fāsī, Muḥammad ibn ʻAbd al-Wāḥid ibn ʻAbd al-Qādir",scribe,فاسي، محمد بن عبد الواحد بن عبد القادر,"",human,Muḥammad ibn ʻAbd al-Wāḥid ibn ʻAbd al-Qādir Fāsī,Q114242436
"Feltrinelli, Giannalisa",former owner,"","",human,Giannalisa Feltrinelli,Q95750251
"Fenn, John, 1739-1794",former owner,"","",human,John Fenn,Q6232934
"Feutrier, Imbert",author,"","",human,Imbert Feutrier,Q113826490
"Firenze, Andrea de, 15th cent",illuminator,"","",human,Andrea di Bonaiuto,Q495419
"Fugger, Marcus, 1529-1597",former owner,"","",human,Markus Fugger,Q115254
"Fugger, Ulricus, 1526-1584",former owner,"","",human,Ulrich Fugger,Q3547961
