subject_as_recorded,source_authority_uri,authorized_label,structured_value
Time measurements--Early works to 1800,"",Time measurements;Early works,http://id.worldcat.org/fast/1151135;http://id.worldcat.org/fast/1411636
Turkey--History--1683-1829--Early works to 1800,"",Turkey;History;Early works,http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1411636
"Turkey--History--Ottoman Empire, 1288-1918","",Turkey;History;1288-1918,http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1411628;http://id.worldcat.org/fast/1355456
Turkey--Politics and government--17th century--Early works to 1800,"",Turkey;Politics and government;Seventeenth century;Early works,http://id.worldcat.org/fast/1208963;http://id.worldcat.org/fast/1919741;http://id.worldcat.org/fast/1113663;http://id.worldcat.org/fast/1411636
Tuscany (Italy)--Commerce--Early works to 1800,"",Italy--Tuscany;Commerce;Early works,http://id.worldcat.org/fast/1204477;http://id.worldcat.org/fast/869279;http://id.worldcat.org/fast/1411636
Tuscany (Italy)--Economic conditions--Early works to 1800,"",Italy--Tuscany;Economic history;Early works,http://id.worldcat.org/fast/1204477;http://id.worldcat.org/fast/901974;http://id.worldcat.org/fast/1411636
Usury--Early works to 1800,"",Usury;Early works,http://id.worldcat.org/fast/1163232;http://id.worldcat.org/fast/1411636
Vāmana (Hindu deity),"",Vāmana (Hindu deity),http://id.worldcat.org/fast/1169392
Vedanta,"",Vedanta,http://id.worldcat.org/fast/1164683
Vedanta--Early works to 1800,"",Vedanta;Early works,http://id.worldcat.org/fast/1164683;http://id.worldcat.org/fast/1411636
Vishnu (Hindu deity),"",Vishnu (Hindu deity),http://id.worldcat.org/fast/1167831
Warwickshire (England)--History,"",England--Warwickshire;History,http://id.worldcat.org/fast/1212375;http://id.worldcat.org/fast/1411628
Weights and measures--England--Early works to 1800,"",Weights and measures;England;Early works,http://id.worldcat.org/fast/1173497;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411636
Winchester (England)--History,"",England--Winchester;History,http://id.worldcat.org/fast/1207401;http://id.worldcat.org/fast/1411628
Windmills--England--History,"",Windmills;England;History,http://id.worldcat.org/fast/1175762;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1411628
World history--Early works to 1800,"",World history;Early works,http://id.worldcat.org/fast/1181345;http://id.worldcat.org/fast/1411636
